City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,harper,4.375,-7.7169,25.71,88,98,1.23,LR,1686269389
84,manicore,-5.8092,-61.3003,26.6,76,99,0.95,BR,1686269389
85,udachny,66.4167,112.4,15.25,50,79,6.86,RU,1686269389
86,kidal,18.4411,1.4078,34.12,12,1,4.19,ML,1686269390
87,stanley,54.868,-1.6985,10.01,78,75,2.06,GB,1686269390
88,hamilton,39.1834,-84.5333,23.47,34,0,3.09,US,1686269291
89,kirensk,57.7853,108.1119,19.11,48,63,1.94,RU,1686269390
90,santo domingo zanatepec,16.4831,-94.3475,30.24,66,52,2.64,MX,1686269390
91,invercargill,-46.4,168.35,5.59,73,8,1.36,NZ,1686269247
92,phan rang-thap cham,11.5667,108.9833,28.01,71,97,2.1,VN,1686269390
93,colachel,8.1667,77.25,26.46,86,100,5.02,IN,1686269390
94,utrik,11.2278,169.8474,27.65,81,98,8.53,MH,1686269391
95,carnarvon,-24.8667,113.6333,16.23,43,0,4.64,AU,1686269391
96,grytviken,-54.2811,-36.5092,1.7,84,99,2.43,GS,1686269391
97,sisimiut,66.9395,-53.6735,1.44,69,79,0.75,GL,1686269391
98,wangjing,24.6,94.0333,22.83,89,81,0.41,IN,1686269391
99,morehead city,34.7229,-76.726,23.03,86,0,3.6,US,1686269391
100,gadzhiyevo,69.2551,33.3362,3.64,82,100,8.6,RU,1686269392
101,qaqortoq,60.7167,-46.0333,1.97,83,29,2.55,GL,1686269392
102,crane,31.3974,-102.3501,33.03,18,9,0.81,US,1686269392
103,akureyri,65.6835,-18.0878,9.96,76,75,3.6,IS,1686269127
104,mtsamboro,-12.6998,45.0689,23.62,74,3,1.03,YT,1686269392
105,chonchi,-42.6128,-73.8092,4.51,78,74,2.61,CL,1686269392
106,mount gambier,-37.8333,140.7667,11.13,61,74,5.17,AU,1686269392
107,thompson,55.7435,-97.8558,24.09,33,75,7.2,CA,1686269093
108,novoukrayinka,48.3264,31.5285,15.06,63,60,2.76,UA,1686269393
109,sesheke,-17.4759,24.2968,17.15,48,73,1.73,ZM,1686269393
110,klyuchi,52.2667,79.1667,19.7,76,52,3.75,RU,1686269393
111,kill devil hills,36.0307,-75.676,18.0,90,100,5.14,US,1686269209
112,annaba,36.9,7.7667,21.98,88,0,2.06,DZ,1686269393
113,isafjordur,66.0755,-23.124,8.2,90,100,5.87,IS,1686269393
114,tazacorte,28.629,-17.9293,20.54,85,0,2.57,ES,1686269394
115,iskateley,67.6803,53.1512,5.02,82,99,2.33,RU,1686269394
116,san antonio de pale,-1.4014,5.6325,24.93,79,96,4.79,GQ,1686269394
117,sarangani,5.4033,125.4636,28.81,75,98,4.7,PH,1686269394
118,ankang,32.68,109.0172,23.17,78,30,0.93,CN,1686269394
119,ahar,38.4774,47.0699,11.51,93,51,1.1,IR,1686269394
120,iqaluit,63.7506,-68.5145,3.72,80,100,1.34,CA,1686269394
121,ust-tsilma,65.441,52.1498,4.14,72,54,2.4,RU,1686269395
122,atafu village,-8.5421,-172.5159,28.81,75,15,5.39,TK,1686269395
123,hawaiian paradise park,19.5933,-154.9731,27.73,71,100,4.12,US,1686269395
124,arraial do cabo,-22.9661,-42.0278,21.58,87,0,7.01,BR,1686269395
125,pirai do sul,-24.5261,-49.9486,12.32,87,5,1.15,BR,1686269395
126,kiruna,67.8557,20.2251,0.51,75,75,2.57,SE,1686269395
127,brisas de zicatela,15.8369,-97.0419,31.29,70,40,3.6,MX,1686269395
128,ribeira grande,38.5167,-28.7,18.21,81,99,1.79,PT,1686269395
129,sinabang,2.4803,96.3801,26.74,81,100,0.53,ID,1686269396
130,massawa,15.6097,39.45,34.11,34,8,2.22,ER,1686269396
131,san julian,21.0167,-102.1667,29.61,7,17,5.64,MX,1686269396
132,whitehorse,60.7161,-135.0538,22.79,26,100,5.81,CA,1686269396
133,juan griego,11.0817,-63.9655,27.08,83,4,6.87,VE,1686269396
134,veracruz,19.3333,-96.6667,29.93,63,42,2.83,MX,1686269263
135,port elizabeth,-33.918,25.5701,16.17,73,46,0.89,ZA,1686269396
136,wenchang,30.904,118.4887,26.77,64,63,3.32,CN,1686269396
137,salinopolis,-0.6136,-47.3561,26.16,87,32,4.77,BR,1686269397
138,nagqu,31.5,92.0,6.8,64,97,5.33,CN,1686269397
139,natal,-5.795,-35.2094,25.36,88,20,1.54,BR,1686269397
140,taro,-8.3862,115.28,22.0,87,71,1.3,ID,1686269397
141,ibiruba,-28.6275,-53.0897,17.37,72,7,2.99,BR,1686269397
142,vilyuysk,63.7553,121.6247,17.52,42,3,1.69,RU,1686269397
143,codrington,-38.2667,141.9667,11.59,63,39,7.32,AU,1686269398
144,qui nhon,13.7667,109.2333,27.68,73,79,4.53,VN,1686269398
145,petropavlovsk-kamchatsky,53.0452,158.6483,15.99,51,40,6.0,RU,1686269398
146,colonia,50.9333,6.95,17.7,85,0,0.51,DE,1686269398
147,anadyr,64.75,177.4833,14.28,47,0,5.0,RU,1686269398
148,bryne,58.7354,5.6477,11.64,92,20,0.51,NO,1686269398
149,remire-montjoly,4.9167,-52.2667,24.02,94,20,1.03,GF,1686269398
150,whangarei,-35.7317,174.3239,15.68,73,94,3.82,NZ,1686269398
151,nikol'sk,53.7189,46.0712,9.89,93,2,1.16,RU,1686269399
152,hemsby,52.6971,1.6918,12.21,90,39,7.8,GB,1686269399
153,kodiak,57.79,-152.4072,8.73,93,100,4.12,US,1686269399
154,cacheu,12.2706,-16.1658,25.81,79,15,3.26,GW,1686269399
155,kataba,13.9833,44.3833,19.59,70,86,0.69,YE,1686269399
156,novaya igirma,57.1334,103.9112,20.44,44,58,2.11,RU,1686269399
157,east london,-33.0153,27.9116,17.16,50,21,3.24,ZA,1686269399
158,itapaci,-14.9508,-49.5494,22.19,46,15,1.27,BR,1686269102
159,torghay,49.6339,63.4981,15.39,51,7,2.97,KZ,1686269400
160,chui,-33.6971,-53.4616,19.01,83,11,4.23,UY,1686269400
161,sidney,-33.8679,151.2073,17.01,58,0,3.6,AU,1686269239
162,thurgoona,-36.0451,146.9919,12.03,100,84,2.24,AU,1686269400
163,ta`u,-14.2336,-169.5144,27.95,78,90,5.58,AS,1686269400
164,tual,-5.6667,132.75,27.25,80,56,6.95,ID,1686269400
165,namibe,-15.1961,12.1522,18.7,76,1,3.41,AO,1686269401
166,souillac,-20.5167,57.5167,22.49,83,12,3.45,MU,1686269401
167,kambove,-10.8764,26.5969,14.77,64,37,1.35,CD,1686269401
168,hilo,19.7297,-155.09,28.49,66,100,4.12,US,1686269303
169,las khorey,11.1595,48.1967,31.0,67,23,1.65,SO,1686269401
170,fale old settlement,-9.3852,-171.2468,28.72,77,30,5.36,TK,1686269401
171,weno,7.4515,151.8468,28.81,73,84,2.03,FM,1686269402
172,gizo,-8.103,156.8419,28.3,73,97,1.84,SB,1686269402
173,zhezqazghan,47.7833,67.7667,21.33,41,100,3.44,KZ,1686269402
174,armyansk,46.1092,33.6921,17.74,80,52,5.7,UA,1686269403
175,fort mcmurray,56.7268,-111.381,26.36,24,0,1.89,CA,1686269403
176,beloyarskiy,63.7119,66.6722,5.94,70,60,1.34,RU,1686269403
177,pombas,17.1503,-25.0201,23.86,86,17,2.69,CV,1686269403
178,mhamid,29.82,-5.72,26.17,24,58,8.68,MA,1686269403
179,lewistown,40.5992,-77.5714,17.67,74,75,0.0,US,1686269386
180,ghat,24.9647,10.1728,30.57,23,0,1.71,LY,1686269404
181,saudarkrokur,65.7461,-19.6394,8.73,83,100,7.36,IS,1686269404
182,melfort,52.8667,-104.6177,29.07,21,0,4.63,CA,1686269137
183,pama,11.2497,0.7075,28.37,64,71,5.45,BF,1686269404
184,canar,-2.55,-78.9333,8.16,92,91,2.29,EC,1686269405
185,quesada,10.3238,-84.4271,23.73,92,93,1.45,CR,1686269405
186,volodarskiy,46.4013,48.5409,14.97,56,49,2.16,RU,1686269405
187,ertil',51.8406,40.8056,14.04,71,73,1.43,RU,1686269405
188,santa ana,33.7456,-117.8678,26.64,61,20,5.14,US,1686269405
189,puri,19.8,85.85,28.29,92,99,4.81,IN,1686269406
